,log_map_seed,log_map_r,log_map_on,lfsr_seed,lfsr_on,rossler_c,rossler_on,tent_map_seed,tent_map_r,tent_on,henon_map_x_seed,henon_map_y_seed,henon_map_a,henon_on,fitness
0,0.01,3.7,1,00000001,1,9.0,0,0.01,1.0,0,0.01,0.01,1.0,1,33.437118464052304
1,0.5916671862606577,3.8052879303729004,0,00000101,0,9.03310386860454,0,0.45450760071328,1.0921033119529113,0,0.2093577386466059,0.8327757966395095,1.1021559934040785,0,17.802802287581702
2,0.7505033127082859,3.9046380323957512,0,00000110,1,9.056847612693552,0,0.7667141191006484,1.172784035098305,1,0.18288056488447194,0.47957496771878483,1.2087901506793062,1,33.46504248366014
