,log_map_seed,log_map_r,log_map_on,lfsr_seed,lfsr_on,rossler_c,rossler_on,tent_map_seed,tent_map_r,tent_on,henon_map_x_seed,henon_map_y_seed,henon_map_a,henon_on,fitness
0,0.01,3.7,1,00000001,0,9.0,0,0.01,1.0,1,0.01,0.01,1.0,1,33.40840958605665
1,0.9733847051659241,3.806480657623225,0,00000110,1,9.23859686913748,0,0.13457966280723088,1.122188946429194,1,0.45826631918745475,0.8989709125375174,1.1056933961050932,1,33.561167755991285
2,0.4004354000420256,3.91266616910345,1,00001001,0,9.43193431352048,1,0.19986248138734447,1.2301583204963782,1,0.5263659539268104,0.6699007999748521,1.1975705650032222,0,33.63174291938997
3,0.31694996175720946,0.006794579061085493,0,00001100,0,9.385658673104773,0,0.23719188534285746,1.326555045354666,1,0.5853817130082883,0.9257093269569525,1.2995152388293885,1,33.3778779956427
4,0.49395061903756055,0.09870055918111696,1,00010001,1,9.572485558221684,0,0.20168526317730318,1.4263033561040714,0,0.7804582915552367,0.9257841015360998,1.3814114278581475,0,33.48566448801743
5,0.5415985617086696,0.20358761697190342,0,00011000,0,9.647588222317578,1,0.31810236165242795,1.5216339243444186,0,0.9544308500079541,0.8183672559373423,1.4565045179210627,0,33.51213507625272
6,0.9732365821602023,0.3023577910887823,1,00011001,1,9.720178868760982,1,0.4213448176414724,1.615167196318703,1,0.08252440667948546,0.05117038327974344,1.5543679077276955,0,33.36674509803921
7,0.8923940200414683,0.3899937243855305,0,00011110,0,9.63064142840013,1,0.7243425907057739,1.7162615676366555,1,0.8909289134491112,0.3168203488605762,1.6348101591953021,1,33.422671023965144
8,0.45323006675625854,0.5007613373424864,0,00100111,1,9.655533570538003,0,0.9007526178506393,1.8184780684588882,0,0.9059700079582078,0.2899552320299652,1.7459306962742838,1,33.54120697167756
9,0.630416896691677,0.5995479337205721,0,00101011,1,9.846886587092818,1,0.432802170415829,1.9282064007627993,0,0.01079006418925288,0.38890884997009606,1.8357942054523342,0,33.281660130718954
10,0.5313556490423132,0.7028286830010053,0,00110010,1,9.795231461851378,0,0.570780512244957,0.01991076871882802,0,0.08330671440321546,0.49945582785828946,1.9393392790610102,1,33.60493246187364
11,0.6041201994461396,0.8041509064109986,1,00111001,1,9.85240186930668,1,0.4849947980821425,0.11648920798560619,0,0.6396604358032435,0.4407860727705092,0.04611078944858882,1,2.081420479302832
12,0.8890943644447833,0.8958295330163341,0,01000000,0,10.18542055049982,0,0.2149803360101935,0.21165303205338032,1,0.7381592785189965,0.7017196255778425,0.14559302942564958,1,26.922544662309377
13,0.3291820950464974,0.9998602917645809,0,01000100,1,10.460373176318646,1,0.41112817811448854,0.31560890880164316,0,0.08388488549684414,0.9028298097587367,0.2563971544159996,1,33.389050108932466
14,0.4075971233952913,1.1037509546239102,0,01000101,0,10.614375379551118,0,0.44430446003155605,0.4255549710225349,1,0.4126430484418158,0.6945398657432241,0.3594506414797781,0,1.8320740740740742
15,0.2940224751645985,1.195690716144072,1,01000110,0,10.679503921568944,0,0.6396321070078885,0.528427861757078,1,0.7155897814874376,0.8012473942786129,0.452364238830539,1,27.351450980392155
16,0.25602207148451217,1.2943000903559718,1,01001110,0,10.603548056010625,1,0.18400785768949746,0.6298118677585105,1,0.7659992906086609,0.8202674955466676,0.5579175469891637,0,33.62512854030501
17,0.29812365458233697,1.3962197740529205,1,01010101,1,10.762573454522416,1,0.04471277405068133,0.713154341496785,0,0.23658026341224225,0.8165367387372027,0.6483769717416792,0,33.5818082788671
18,0.24415558238576737,1.501903039183365,1,01010110,1,10.887285159551743,1,0.02809601062203207,0.8277607894403312,1,0.3020791059554694,0.13581127321158637,0.7470708683919512,0,33.36042265795207
19,0.19174161940274326,1.6080936189182455,0,01010111,1,10.777722099505349,1,0.4724546080177028,0.9266904434214029,0,0.2927964449137251,0.23857070883680007,0.8288003088327959,1,33.64192156862745
20,0.345858306789925,1.710677613745803,1,01011010,1,10.891724110154643,0,0.5978931509068686,1.0201903162279244,1,0.366654261899249,0.3740752903899698,0.9203330659680655,1,33.43913289760349
21,0.046291281668432105,1.8200316690775133,1,01100000,0,11.019396749146157,0,0.9900188332824854,1.1362493425020006,0,0.6016372070995323,0.4254520624701569,1.0160982870446775,1,25.096017429193896
22,0.4338753495895863,1.9320500513870908,0,01100010,0,11.072227496915762,0,0.5968923985033352,1.2283015638575328,1,0.6899327516419568,0.813619498600954,1.1154150046599043,0,33.46085403050109
